player,kills,deaths,adr,kast,rating,team_on,team_against,map
degster,26,18,81.2,76.7%,1.27,OG,GODSENT,Inferno
JAEPE,26,15,102.0,70.8%,1.38,Make Your Destiny,Arcadia,Nuke
Hatz,24,9,113.3,85.7%,1.77,Encore,DeadWeight,Inferno
yepz,30,16,100.3,63.3%,1.5,Case,Fuscão 1500,Overpass
FalleN,28,11,85.9,84.6%,1.58,Imperial,EG Black,Vertigo
tomaszin,24,20,104.7,76.7%,1.37,Boca Juniors,FURIA Academy,Inferno
NEKIZ,24,17,76.6,76.7%,1.25,paiN,Liquid,Nuke
ReegaN,33,24,77.1,71.4%,1.2,Arctic Raptors,7AM,Nuke
rapala,22,18,88.9,71.4%,1.2,EPIC DUDES,AGO,Nuke
dobbo,25,13,70.5,82.1%,1.38,Into the Bin,Choppers,Nuke
realz1n,19,17,72.6,71.4%,1.12,RED Canids,INTZ,Ancient
Anlelele,23,10,92.0,80.0%,1.53,MASONIC,BIG Academy,Inferno
faveN,23,17,87.9,80.0%,1.28,BIG,9INE,Nuke
tvs,25,7,105.2,90.0%,1.91,ROYALS,K10,Overpass
whatz,18,14,76.2,72.7%,1.21,Fourteen,AGO,Nuke
k0nfig,22,20,86.7,78.6%,1.25,Ninjas in Pyjamas,Cloud9,Inferno
blameF,18,15,82.4,75.9%,1.21,Astralis,GODSENT,Inferno
ArroW,22,16,82.8,84.0%,1.31,BIG Academy,JANO,Mirage
SasukeQO,23,15,88.5,75.0%,1.39,FROGS,eMasters,Nuke
s1ren,23,17,93.4,78.3%,1.31,Spirit,fnatic,Vertigo
flameZ,30,16,107.9,88.9%,1.77,OG,sYnck,Ancient
KSCERATO,24,11,92.9,81.5%,1.61,FURIA,EG Black,Vertigo
saadzin,25,16,91.1,81.5%,1.41,CARECAS,Desorganizados,Inferno
KAISER,18,14,92.5,60.9%,1.22,Furious,Corinthians,Overpass
naitte,25,20,97.9,85.2%,1.36,ODDIK,WINDINGO,Ancient
hallzerk,22,14,75.9,75.0%,1.28,Complexity,Imperial,Inferno
Bibu,49,30,95.9,81.1%,1.44,undefined,EPIC DUDES,Inferno
donk,24,18,95.8,80.8%,1.41,Spirit Academy,Monte,Nuke
card,26,17,117.2,71.4%,1.65,MIBR Academy,Furious,Ancient
asran,25,19,100.4,82.8%,1.31,AGO,EPIC DUDES,Overpass
REZ,13,17,66.7,66.7%,0.86,Ninjas in Pyjamas,Cloud9,Ancient
allu,28,17,72.3,77.8%,1.32,JANO,Make Your Destiny,Anubis
BOROS,24,18,107.2,65.4%,1.41,Monte,BIG Academy,Mirage
NaToSaphiX,32,20,82.3,77.8%,1.35,undefined,Fourteen,Inferno
draken,21,10,83.1,84.6%,1.55,GODSENT,fnatic,Ancient
donk,28,12,113.8,75.0%,1.87,Spirit Academy,Endpoint,Vertigo
Ax1Le,33,21,88.7,80.0%,1.38,Cloud9,sYnck,Ancient
chopper,18,18,73.1,76.9%,1.09,Spirit,Astralis,Nuke
k0nfig,26,14,93.7,80.8%,1.54,Ninjas in Pyjamas,OG,Vertigo
CLASIA,20,17,78.4,80.0%,1.12,Strife,ATK,Mirage
Lcm,28,18,86.0,73.3%,1.46,Fuscão 1500,Furious,Ancient
Andrea,24,15,77.9,82.8%,1.35,Detonate SparX,EG Gold,Overpass
Alleb,13,19,86.2,65.0%,0.84,byte,Shimmer,Ancient
b0denmaster,23,18,85.2,82.8%,1.29,ATK,timbermen,Mirage
cass1n,31,13,79.2,79.4%,1.53,paiN Academy,RED Canids,Vertigo
CLASIA,23,15,101.5,83.3%,1.52,Strife,X13,Ancient
EliGE,23,11,105.4,68.2%,1.72,Liquid,Nouns,Inferno
izaa,25,20,112.3,76.7%,1.45,FURIA fe,MIBR fe,Inferno
lulitenz,15,15,86.8,61.9%,0.98,LRV fe,ENDGAME,Vertigo
nicoodoz,13,15,72.5,68.2%,0.91,fnatic,9INE,Vertigo
yepz,22,13,105.0,73.9%,1.53,Case,MIBR Academy,Overpass
aVN,21,8,98.8,85.7%,1.77,Zero Tenacity,Insilio,Nuke
ANa,29,15,99.1,89.7%,1.68,Nigma Galaxy,BIG EQUIPA,Ancient
meo,21,18,76.3,73.1%,1.14,VP.Angels,Flames Shieldmaidens,Overpass
eraa,19,20,87.0,60.7%,1.11,Young Ninjas,Endpoint,Vertigo
joel,18,18,79.2,84.0%,1.05,GODSENT,Cloud9,Overpass
El1an,26,18,79.6,69.4%,1.29,K23,Arcadia,Anubis
keiz,22,10,72.6,80.0%,1.34,ARCTIC,INTZ,Nuke
prosus,24,18,94.1,69.0%,1.28,BIG Academy,Partizan,Inferno
KENSI,24,18,86.6,78.6%,1.35,Aurora,Spirit Academy,Anubis
Polt,22,19,98.1,80.0%,1.37,Insilio,Into the Bin,Vertigo
VLDN,19,15,81.8,80.8%,1.2,iNation,EYEBALLERS,Ancient
sh1ro,30,10,111.6,88.5%,1.88,Cloud9,Falcons,Ancient
salazar,19,19,90.0,76.0%,1.23,ECSTATIC,Monte,Vertigo
entz,38,25,94.4,73.8%,1.44,ROYALS,Arcadia,Overpass
Lucky,21,16,82.5,79.2%,1.31,Tricked,LDLC,Ancient
kye,24,16,92.5,74.1%,1.33,FURIA Academy,WINDINGO,Ancient
Reef,33,17,86.0,88.9%,1.43,Factor Ruby,Starfish,Anubis
BiBiAhn,22,9,112.9,77.8%,2.02,CLG Red,Saints,Vertigo
zevy,31,15,104.6,80.0%,1.7,paiN,MIBR,Anubis
naitte,16,19,78.7,75.0%,1.05,ODDIK,Boca Juniors,Anubis
nani,24,19,83.1,67.9%,1.34,B4 fe,Black Dragons fe,Nuke
Raijin,32,24,94.7,71.4%,1.36,K23,Nakama,Overpass
simke,20,20,91.0,66.7%,1.13,Zero Tenacity,GHR,Nuke
pullox,23,22,90.0,63.0%,1.15,GUILD,Flames Shieldmaidens,Ancient
ManeschijnX,21,17,80.6,66.7%,1.19,Astralis fe,NIP Impact,Anubis
Ax1Le,23,14,98.8,81.5%,1.47,Cloud9,Copenhagen Flames,Ancient
zaNNN,22,19,94.5,64.3%,1.18,Illuminar,BIG Academy,Inferno
guidimon,25,21,87.9,75.0%,1.34,FUSION,Desorganizados,Inferno
robiin,34,20,116.9,75.0%,1.64,Into the Bin,Zero Tenacity,Nuke
Brollan,18,18,81.4,73.1%,0.97,Ninjas in Pyjamas,OG,Mirage
lattykk,29,15,102.5,93.3%,1.62,Aurora,K23,Nuke
Jame,22,15,74.0,78.6%,1.24,Virtus.pro,FORZE,Overpass
mid1,28,20,101.0,80.0%,1.42,Hype,CARECAS,Inferno
c0llins,24,22,85.3,65.5%,1.2,Partizan,PALOMA,Nuke
El1an,25,13,83.1,82.1%,1.42,K23,ROYALS,Anubis
Pipw,14,15,70.7,69.6%,1.07,Insilio,GHR,Ancient
Dragon,22,21,93.7,81.5%,1.22,iNation,Endpoint,Anubis
Lucky,22,19,80.2,60.0%,1.11,HEET,Iron Branch,Overpass
torzsi,16,6,72.8,89.5%,1.69,MOUZ,Apeks,Ancient
Liazz,16,9,91.7,87.0%,1.44,Grayhound,The Big Dogs,Vertigo
Soulfly,22,20,84.8,64.3%,1.2,Sangal,Partizan,Ancient
Swaggy,29,18,114.3,76.9%,1.57,Viperio,ENCE Academy,Overpass
apocdud,21,21,79.7,75.0%,1.12,e-LEMON-ators,VERTEX,Vertigo
reck,17,16,81.8,66.7%,0.99,ATK,EG Black,Vertigo
MaLLby,21,17,89.4,77.8%,1.33,ARCTIC,Furious,Nuke
HexT,21,20,95.0,60.7%,1.21,EG Black,Vendetta,Mirage
draken,23,10,125.5,90.5%,1.84,GODSENT,EPIC DUDES,Overpass
t9rnay,27,17,106.5,73.1%,1.67,RED Canids,Fuscão 1500,Mirage
Gafolo,27,13,92.3,96.2%,1.73,Sharks,ODDIK,Ancient
headtr1ck,29,18,107.7,76.7%,1.44,Ninjas in Pyjamas,Monte,Mirage
maxster,19,8,77.6,84.0%,1.53,Young Ninjas,MOUZ NXT,Overpass
Jerry,23,16,96.6,88.5%,1.43,FORZE,Bad News Eagles,Overpass
ninjaZ,27,22,92.6,79.4%,1.3,ARCTIC,ODDIK,Inferno
